drug_a,drug_b,severity,confidence,mechanism,direction,auc_ratio,management,onset_hrs,references
digoxin,amiodarone,0.85,0.93,Amiodarone inhibits P-gp and CYP3A4 → digoxin AUC increases 50-100%,increases,1.7,Reduce digoxin dose 50% when starting amiodarone. Monitor levels closely.,48,PMID 3513566
digoxin,clarithromycin,0.8,0.9,Clarithromycin inhibits P-gp → reduced digoxin renal/intestinal secretion → toxicity,increases,1.5,Monitor digoxin levels. Consider dose reduction.,24,FDA Label Lanoxin
metformin,contrast_media,0.8,0.85,Contrast nephropathy → AKI → metformin accumulates → lactic acidosis,toxicity,,Hold metformin 24-48hr before IV contrast; resume 48hr after if Cr stable.,0,FDA Label Glucophage
metformin,furosemide,0.55,0.75,Furosemide may increase metformin AUC by reducing tubular secretion,increases,1.2,Monitor renal function. High furosemide doses may worsen dehydration → lactic acidosis risk.,6,FDA Label Glucophage
lisinopril,spironolactone,0.7,0.9,Both cause K+ retention → additive hyperkalemia risk,synergizes,,"Monitor K+ weekly for 4 weeks, then monthly. Target K+ <5.5 mEq/L.",24,PMID 9734309
lisinopril,ibuprofen,0.65,0.88,NSAIDs reduce renal prostaglandins → blunt ACEi antihypertensive effect + AKI risk,antagonizes,,Avoid NSAIDs if possible. Monitor BP and renal function closely.,6,PMID 7716440
sertraline,tramadol,0.85,0.9,Additive serotonergic effect + CYP2D6 inhibition impairs tramadol metabolism → serotonin syndrome,synergizes,,"Avoid combination. If necessary, use lowest doses and monitor for serotonin syndrome signs.",2,PMID 11218006
fluoxetine,metoprolol,0.72,0.92,Fluoxetine is a strong CYP2D6 inhibitor → metoprolol levels increase 4-5x,increases,4.5,Reduce metoprolol dose significantly. Monitor HR and BP. Consider beta-blocker without CYP2D6 metabolism.,24,PMID 9274810
levothyroxine,calcium_carbonate,0.65,0.95,Calcium forms insoluble chelate with levothyroxine in GI tract → reduced absorption,reduces_absorption,0.6,"Separate by AT LEAST 4 hours (levothyroxine first, then calcium 4hr+ later).",0,DrugBank|PMID 2060551
levothyroxine,omeprazole,0.5,0.82,PPIs reduce gastric acid → less ionization of levothyroxine → reduced absorption,reduces_absorption,0.85,Take levothyroxine 30-60min before omeprazole. Monitor TSH after PPI initiation.,0,PMID 19440929
phenytoin,fluconazole,0.82,0.92,Fluconazole inhibits CYP2C9 → phenytoin levels increase → toxicity,increases,2.0,Monitor phenytoin levels closely. May need 30-50% dose reduction.,24,PMID 9218827
phenytoin,warfarin,0.8,0.9,Phenytoin induces CYP2C9 → warfarin metabolism accelerated. Then phenytoin also displaces warfarin protein binding initially → complex biphasic interaction.,complex,,Monitor INR very closely. Interaction is unpredictable.,48,PMID 9218827
azathioprine,allopurinol,0.97,0.99,Allopurinol inhibits xanthine oxidase → 6-MP (azathioprine metabolite) cannot be inactivated → severe myelosuppression/toxicity,toxicity,4.0,CONTRAINDICATED unless dose reduced to 25% of azathioprine dose with intensive CBC monitoring.,24,PMID 1978100|FDA Label Imuran
azithromycin,ondansetron,0.75,0.88,Additive QT prolongation → increased torsades de pointes risk,synergizes,,Avoid combination in patients with cardiac risk factors. ECG monitoring if necessary.,2,FDA Safety Alert 2013
ciprofloxacin,ondansetron,0.72,0.85,Additive QT prolongation,synergizes,,Monitor QTc. Avoid in patients with hypokalemia or baseline QTc >450ms.,2,FDA Safety Communication
cyclosporine,clarithromycin,0.88,0.95,"Clarithromycin MBI CYP3A4 → cyclosporine levels increase 3-5x → nephrotoxicity, neurotoxicity",increases,4.0,Monitor cyclosporine trough daily. Reduce cyclosporine dose 50-75%.,24,FDA Label Neoral
cyclosporine,atorvastatin,0.8,0.9,Cyclosporine inhibits OATP1B1 and P-gp → atorvastatin AUC increases 8-10x → myopathy,increases,8.0,Atorvastatin max 10mg/day with cyclosporine. Prefer pravastatin.,12,FDA Label Lipitor
theophylline,ciprofloxacin,0.82,0.92,"Ciprofloxacin inhibits CYP1A2 → theophylline AUC increases 1.5-3x → seizures, arrhythmias",increases,2.0,Monitor theophylline levels. Reduce theophylline dose 50% or avoid.,24,FDA Label Cipro
metronidazole,alcohol,0.88,0.98,"Disulfiram-like reaction: metronidazole inhibits aldehyde dehydrogenase → acetaldehyde accumulation → flushing, vomiting, hypotension",toxicity,,ABSOLUTE prohibition of alcohol during metronidazole and for 48 hours after completion.,0.5,FDA Label Flagyl
morphine,benzodiazepines,0.95,0.98,Additive CNS and respiratory depression — synergistic at opioid and GABA-A receptors,synergizes,,"AVOID combination if possible. If required, use lowest doses. Naloxone available. Monitor respiratory rate.",0.5,FDA Black Box Warning 2016|PMID 27417382
tramadol,sertraline,0.85,0.9,Additive serotonergic effects + CYP2D6 competition → serotonin syndrome risk,synergizes,,"Avoid combination. If necessary, use lowest doses and monitor for serotonin syndrome (hyperthermia, agitation, clonus).",2,PMID 11218006
codeine,fluoxetine,0.8,0.92,Fluoxetine inhibits CYP2D6 → impairs codeine → morphine conversion → reduced analgesia AND accumulates norcodeine → CNS effects,reduces_absorption,0.3,"Avoid combination. Use alternative analgesic not dependent on CYP2D6 (e.g. paracetamol, NSAIDs).",6,PMID 9274810
fentanyl,clarithromycin,0.88,0.92,Clarithromycin MBI of CYP3A4 → fentanyl levels increase dramatically → respiratory depression,increases,4.0,Avoid or reduce fentanyl dose 50-75%. Intensive monitoring. Consider opioid rotation.,12,FDA Label Duragesic|PMID 10573201
haloperidol,lithium,0.78,0.88,Combined neurotoxicity — irreversible brain damage reported at high doses; additive EPS and QT prolongation,synergizes,,Use lowest effective doses. Monitor lithium levels and neurological status closely.,24,PMID 6111940
clozapine,ciprofloxacin,0.8,0.88,"Ciprofloxacin inhibits CYP1A2 → clozapine levels increase 2-3x → seizures, agranulocytosis risk",increases,2.5,Monitor clozapine levels closely. Reduce clozapine dose or use alternative antibiotic (avoid fluoroquinolones).,24,PMID 9839134
quetiapine,carbamazepine,0.8,0.9,Carbamazepine is potent CYP3A4 inducer → quetiapine AUC reduced 85-90%,reduces_absorption,0.13,5-fold dose increase required. Prefer alternative mood stabilizer/anticonvulsant if possible.,72,FDA Label Seroquel
lithium,ibuprofen,0.82,0.95,NSAIDs reduce renal prostaglandins → reduce renal lithium clearance → lithium toxicity,increases,1.6,"Avoid NSAIDs with lithium if possible. Use paracetamol instead. If unavoidable, monitor lithium level closely.",12,PMID 7716440
lithium,lisinopril,0.8,0.9,ACE inhibitors reduce angiotensin II → decreased aldosterone → sodium loss → kidney compensates by retaining lithium,increases,1.5,Monitor lithium levels within 1 week of starting/changing ACE inhibitor dose.,48,PMID 7716440
lithium,furosemide,0.75,0.88,Loop diuretics cause sodium depletion → kidney reabsorbs more lithium to conserve sodium → lithium toxicity,increases,1.5,Monitor lithium levels after starting diuretic. Maintain adequate sodium/fluid intake.,24,PMID 7716440
valproate,lamotrigine,0.75,0.95,Valproate inhibits UGT1A4 → lamotrigine glucuronidation reduced → lamotrigine levels double,increases,2.0,"When adding valproate to lamotrigine, halve lamotrigine dose. Titrate slowly.",24,FDA Label Lamictal
valproate,meropenem,0.92,0.97,Carbapenems inhibit VPA tubular reabsorption and increase glucuronidation → VPA levels drop 50-90% within 24hr,reduces_absorption,0.15,"AVOID combination if valproate essential. If carbapenem required, switch to alternative anticonvulsant (levetiracetam, phenobarbital). Monitor VPA levels daily.",12,PMID 12173951|FDA Label Epilim
carbamazepine,warfarin,0.82,0.93,Carbamazepine induces CYP2C9 → warfarin metabolism accelerated → INR falls,reduces_absorption,0.5,Increase warfarin dose (may need to double). Monitor INR weekly during carbamazepine initiation/dose changes.,72,PMID 9218827
carbamazepine,contraceptive_pill_ethinyl_estradiol,0.85,0.95,Carbamazepine induces CYP3A4 → OCP metabolism accelerated → contraceptive failure risk,reduces_absorption,0.4,"Use non-hormonal contraception or depot medroxyprogesterone. If OCP used, higher-dose pill + barrier method.",72,PMID 9218827
clopidogrel,omeprazole,0.65,0.8,Omeprazole inhibits CYP2C19 → reduced clopidogrel activation → reduced antiplatelet effect,reduces_absorption,0.7,Use pantoprazole (weaker CYP2C19 inhibition) instead of omeprazole/esomeprazole.,6,FDA Safety Alert 2010|PMID 20090790
enoxaparin,aspirin,0.7,0.88,Additive anticoagulation: LMWH anti-Xa effect + aspirin platelet inhibition + GI mucosal damage → bleeding,synergizes,,Combination used clinically (ACS) — ensure benefits outweigh bleeding risk. Add PPI for GI protection.,1,ACC/AHA ACS Guidelines
venlafaxine,tramadol,0.87,0.9,Additive serotonergic effect → serotonin syndrome; also CYP2D6 competition,synergizes,,Avoid combination. Use non-serotonergic analgesic.,2,PMID 11218006
bupropion,tamoxifen,0.82,0.9,Bupropion inhibits CYP2D6 → tamoxifen active metabolite endoxifen levels reduced → reduced breast cancer efficacy,reduces_absorption,0.4,"AVOID bupropion in breast cancer patients on tamoxifen. Use alternative antidepressant (venlafaxine, mirtazapine).",24,PMID 17185996
bupropion,codeine,0.78,0.88,Bupropion inhibits CYP2D6 → impaired codeine activation → reduced analgesia,reduces_absorption,0.3,Use alternative analgesic not dependent on CYP2D6 activation.,6,PMID 9274810
linezolid,sertraline,0.9,0.95,Linezolid is MAO inhibitor + serotonin reuptake inhibition → additive → serotonin syndrome,synergizes,,"CONTRAINDICATED. Washout SSRIs before linezolid. If urgent linezolid needed, stop SSRI and wait 2 weeks (or 5 for fluoxetine).",2,FDA Label Zyvox|PMID 12430096
vancomycin,furosemide,0.78,0.88,Additive nephrotoxicity and ototoxicity — both can cause tubular damage,synergizes,,Monitor renal function and drug levels closely. Ensure adequate hydration.,6,Clinical pharmacology literature
levodopa_carbidopa,metoclopramide,0.8,0.92,Metoclopramide is dopamine D2 antagonist → directly antagonizes levodopa's central dopaminergic effect,antagonizes,,AVOID metoclopramide in Parkinson's disease. Use domperidone (does not cross BBB) for nausea.,1,PMID 9218827
tamoxifen,fluoxetine,0.85,0.92,Fluoxetine strongly inhibits CYP2D6 → tamoxifen → endoxifen conversion blocked → reduced breast cancer protection,reduces_absorption,0.25,AVOID fluoxetine/paroxetine with tamoxifen. Use venlafaxine or citalopram for hot flashes/depression.,24,PMID 17185996|PMID 20090790
methotrexate,trimethoprim,0.95,0.97,Additive DHFR inhibition → severe myelosuppression (pancytopenia) — both inhibit folate pathway,synergizes,,CONTRAINDICATED in high-dose MTX. In low-dose RA MTX: avoid TMP-SMX if alternatives exist; if unavoidable monitor CBC closely.,24,PMID 7716440|FDA Label Methotrexate
methotrexate,ibuprofen,0.82,0.9,NSAIDs reduce renal tubular secretion of MTX → MTX accumulates → myelosuppression/mucositis,increases,2.0,"Avoid NSAIDs, especially perioperatively. Use paracetamol. If NSAID required, hold MTX 24hr before/after and monitor closely.",12,PMID 7716440
imatinib,carbamazepine,0.85,0.92,Carbamazepine induces CYP3A4 → imatinib AUC reduced 70% → loss of CML/GIST efficacy,reduces_absorption,0.3,"Avoid carbamazepine. Switch to levetiracetam or other non-inducing anticonvulsant. If unavoidable, increase imatinib dose.",72,FDA Label Gleevec
testosterone,warfarin,0.75,0.88,Testosterone increases warfarin effect via unclear mechanism (possibly reduced protein binding + direct hepatic effects),increases,1.5,Monitor INR closely when starting/stopping testosterone. Warfarin dose reduction likely needed.,48,FDA Label Testosterone
ciprofloxacin,theophylline,0.82,0.92,Ciprofloxacin inhibits CYP1A2 → theophylline clearance reduced 30-50%,increases,1.7,Reduce theophylline dose 30-50% or monitor levels closely. Use azithromycin if possible.,24,FDA Label Cipro
