name,brand,class,subclass,mechanism,route,half_life_hr_min,half_life_hr_max,protein_binding_pct,bioavailability_pct,renal_excretion_pct,primary_enzyme,secondary_enzymes,narrow_ti,max_daily_dose_mg,therapeutic_range,monitoring,pregnancy_cat,food_effect,contraindications,notes
montelukast,Singulair,antiasthmatic,leukotriene receptor antagonist,Blocks CysLT1 receptors → reduces bronchoconstriction and inflammation,oral,2.7,5.5,99,64,0,CYP3A4,CYP2C9,False,10,Clinical response,"Neuropsychiatric events (mood changes, suicidality — FDA warning)",B,Take in EVENING (allergic rhinitis/asthma). Standard tablet: no food effect. Chewable: avoid for 1hr after.,,FDA boxed warning for neuropsychiatric events. Reserve for when ICS preferred but not tolerated.
omeprazole,Prilosec,GI agent,proton pump inhibitor (PPI),Irreversibly inhibits H+/K+-ATPase (proton pump) in gastric parietal cells,oral|IV,1,1.5,97,53,20,CYP2C19,CYP3A4,False,40,Symptom resolution; gastric pH >4,Mg++ (long-term)|Bone density (long-term)|C. diff risk|B12,C,Take 30-60 min BEFORE eating (breakfast preferred). Acid needed to activate. Food reduces absorption if taken simultaneously.,,Irreversible — effect lasts days despite short half-life. CYP2C19 PM have 3-5x exposure. Reduces clopidogrel activation.
pantoprazole,Protonix,GI agent,proton pump inhibitor (PPI),Irreversibly inhibits H+/K+-ATPase,oral|IV,1,1.9,98,77,71,CYP2C19,CYP3A4,False,80,Clinical response,Mg++|Bone density long-term,C,Take 30-60 min before meal. Food does not significantly affect AUC.,,Fewer CYP interactions than omeprazole — preferred if on clopidogrel.
ondansetron,Zofran,antiemetic,5-HT3 receptor antagonist,Blocks serotonin 5-HT3 receptors centrally and peripherally → antiemesis,oral|IV|IM,3,6,70,60,5,CYP3A4,CYP1A2|CYP2D6,False,32,Clinical response,QT interval (dose-dependent — max 16mg IV),B,Can be taken with or without food,,QT prolongation — avoid in hepatic impairment >8mg IV. Serotonin syndrome risk with SSRIs (rare).
ibuprofen,Advil|Motrin,NSAID,propionic acid derivative,Non-selective COX-1/COX-2 inhibitor → reduced prostaglandin synthesis,oral|topical|IV,1.8,2,99,87,45,CYP2C9,,False,3200,Clinical response,BP|Renal function|GI bleeding signs|CBC,C (D in 3rd trimester),Take WITH food or milk — reduces GI irritation. Does not affect absorption.,,Renal prostaglandin inhibition → AKI risk. Avoid with ACEi/ARBs/diuretics. Antihypertensive interference.
naproxen,Aleve|Naprosyn,NSAID,propionic acid,Non-selective COX inhibitor,oral,12,17,99,95,95,CYP2C9,,False,1500,Clinical response,BP|Renal function|GI bleeding,C (D in 3rd trimester),Take WITH food or milk,,Longer half-life than ibuprofen → twice daily dosing. Same GI/renal risks as all NSAIDs.
celecoxib,Celebrex,NSAID,selective COX-2 inhibitor,Selective COX-2 inhibition → reduced prostaglandin synthesis with less COX-1 effect,oral,11,11,97,40,27,CYP2C9,,False,800,Clinical response,BP|Renal function|Cardiac events|GI symptoms,C (D 3rd trimester),Food increases absorption ~20%. Can be taken with or without food.,,Less GI bleeding vs non-selective NSAIDs. Still renal and cardiovascular risk. CYP2C9 substrate.
allopurinol,Zyloprim,antigout,xanthine oxidase inhibitor,Inhibits xanthine oxidase → reduced uric acid synthesis,oral,24,30,0,90,70,,,False,800,Serum urate <6 mg/dL,Uric acid level|LFTs|CBC|Renal function|Hypersensitivity (DRESS),C,Take WITH food to reduce GI upset. Take AFTER meals.,,Azathioprine/6-MP interaction — xanthine oxidase inhibition → mercaptopurine toxicity (reduce dose 75%). HLA-B*5801 screening in Asian patients.
alendronate,Fosamax,bone agent,bisphosphonate,Inhibits osteoclast-mediated bone resorption,oral,2160,2160,78,0.6,50,,,False,40,Bone density improvement (DEXA),"DEXA q2yr|Ca++, Vitamin D levels|Jaw pain (osteonecrosis)|Atypical femur fractures",C,"CRITICAL: Take with FULL GLASS of water (240mL), EMPTY STOMACH, 30 min before any food/drink/medication. REMAIN UPRIGHT 30 min after. Any food reduces absorption >90%.",,Esophageal irritation/ulceration if not taken correctly. Weekly dosing preferred for adherence.
calcium_carbonate,Tums|Caltrate,mineral supplement,calcium salt,Provides elemental calcium for bone mineralization; antacid,oral,,,0,40,20,,,False,2500,Serum Ca++ 8.5-10.5 mg/dL,Serum Ca++|Renal function,A,Take WITH food — requires gastric acid for absorption. Calcium citrate can be taken without food.,,"Chelates levothyroxine, fluoroquinolones, iron, bisphosphonates — separate 2-4 hours. Constipation common."
theophylline,Theo-Dur|Uniphyl,bronchodilator,methylxanthine,Inhibits phosphodiesterase → increased cAMP; adenosine antagonism,oral|IV,8,10,40,90,10,CYP1A2,CYP3A4,True,1200,5-15 mcg/mL (asthma); 8-13 mcg/mL (COPD),Theophylline level (steady state 48-72hr)|HR|Seizure threshold,C,High-fat meals may increase AUC for sustained-release formulations. Coffee/caffeine additive toxicity.,,"CYP1A2 inducers (smoking, rifampicin) dramatically reduce levels. Fluoroquinolones increase levels. Narrow TI."
prednisolone,Prelone|Delta-Cortef,corticosteroid,glucocorticoid,Binds glucocorticoid receptors → anti-inflammatory gene expression changes,oral|IV|IM,3,3.5,70,82,30,CYP3A4,,False,1000,Clinical response; minimize to lowest effective dose,Blood glucose|BP|K+|Bone density (long-term)|Ophthalmology (cataracts)|Growth in children,C,Take WITH food to reduce GI irritation,,HPA axis suppression with prolonged use — taper slowly. Adrenal crisis risk if stopped abruptly.
azathioprine,Imuran,immunosuppressant,purine analogue,Prodrug → 6-MP → inhibits purine synthesis → lymphocyte proliferation suppression,oral|IV,5,5,30,88,50,,TPMT|XO,True,5,Clinical response (lymphocyte counts),"CBC weekly for 8 weeks, then monthly|LFTs|TPMT genotype before starting",D,Take WITH food to reduce nausea,,CRITICAL: Allopurinol inhibits xanthine oxidase → 6-MP accumulation → fatal myelosuppression. TPMT testing essential.
cyclosporine,Neoral|Sandimmune|Gengraf,immunosuppressant,calcineurin inhibitor,Binds cyclophilin → inhibits calcineurin → reduced IL-2 transcription → T-cell suppression,oral|IV,27,27,90,30,0,CYP3A4,P-gp,True,,Trough: 100-400 ng/mL (transplant-type/time dependent),Cyclosporine trough q1-2 weeks|Cr|BP|K+|LFTs|CBC|Gingival hyperplasia,C,Consistent food intake essential — high-fat meal increases AUC. Grapefruit increases levels significantly.,,"Extreme drug interaction profile (CYP3A4/P-gp). Nephrotoxic. Hypertension, hyperlipidemia common."
hydroxychloroquine,Plaquenil,antimalarial/antirheumatic,aminoquinoline,Alkalinizes lysosomes → inhibits antigen processing; anti-inflammatory,oral,480,720,50,74,22,CYP2D6,CYP3A4,False,400,Clinical response (RA/SLE),Ophthalmology annually (retinopathy)|QT interval|CBC,C,Take WITH food or milk — reduces GI effects,,Retinopathy risk with cumulative dose >5 mg/kg/day. QT prolongation. Safe in pregnancy for lupus.
morphine,MS Contin|MSIR|Morphine Sulphate,opioid analgesic,full mu-opioid agonist,"Binds mu-opioid receptors in CNS and periphery → analgesia, sedation, euphoria",oral|IV|IM|subcutaneous,2,4,35,30,90,UGT2B7,,True,,Pain control (VAS ≤3); avoid respiratory depression,Respiratory rate|Pain scores|Sedation scale|Constipation|Opioid withdrawal,C,Extended-release: do not crush or chew. Food increases Cmax for IR formulation slightly.,severe respiratory depression|paralytic ileus|acute asthma,Active metabolite morphine-6-glucuronide (M6G) accumulates in renal failure — reduce dose or increase interval. Naloxone reversal available.
codeine,Tylenol with Codeine|Codeine Phosphate,opioid analgesic,prodrug opioid,Prodrug → O-demethylation by CYP2D6 → morphine (active) → mu-opioid receptor agonism,oral|IM,3,4,7,60,70,CYP2D6,CYP3A4,True,360,Analgesia without excess sedation,Respiratory rate|Sedation|CYP2D6 phenotype,C,Can be taken with food to reduce GI upset,,CYP2D6 ultra-rapid metabolizers (URM): life-threatening morphine toxicity. CONTRAINDICATED in children post-tonsillectomy and breastfeeding. PM: no analgesic effect.
tramadol,Ultram|Tramal,opioid analgesic,atypical opioid + NRI/SRI,Weak mu-opioid agonism + serotonin/norepinephrine reuptake inhibition,oral|IV|IM,6,7,20,75,30,CYP2D6,CYP3A4,False,400,Analgesic effect; avoid serotonin syndrome,Serotonin syndrome signs|Seizure risk|CYP2D6 phenotype,C,Can be taken with or without food,,Serotonin syndrome risk with SSRIs/SNRIs/MAOIs. Lowers seizure threshold. CYP2D6 inhibitors reduce analgesic efficacy.
fentanyl,Duragesic|Sublimaze|Fentora,opioid analgesic,synthetic opioid,Potent mu-opioid receptor agonist; high lipophilicity → rapid CNS entry,IV|transdermal|sublingual|nasal,3,7,84,92,10,CYP3A4,,True,,Analgesic; avoid respiratory depression,Respiratory rate|Sedation|Patch site (transdermal)|QTc,C,"Transdermal: heat (fever, electric blanket) increases absorption 3x — avoid. Sublingual: do not eat/drink for 15 min.",acute or severe bronchial asthma|opioid non-tolerant patients (high-strength patches),100x more potent than morphine. Transdermal takes 12-24hr to reach steady state. CYP3A4 inhibitors dramatically increase levels.
oxycodone,OxyContin|Percocet|Roxicodone,opioid analgesic,semi-synthetic opioid,Mu-opioid receptor agonist,oral,4,5,45,60,19,CYP3A4,CYP2D6,True,,Analgesia without respiratory depression,Respiratory rate|Abuse potential assessment|Hepatic function (combo with APAP),C,High-fat meal increases Cmax 25% for ER formulation. IR: take with or without food.,,ER formulation: do not crush/chew (dose dumping risk). Combination products contain paracetamol — monitor total APAP dose.
haloperidol,Haldol,antipsychotic,typical (first-generation) antipsychotic,D2 receptor antagonism in mesolimbic pathway,oral|IM|IV,18,36,92,60,40,CYP3A4,CYP2D6,False,100,Serum: 5-20 ng/mL (optional TDM),EPS (AIMS scale)|QTc interval|Metabolic panel|Prolactin if symptomatic,C,Take with food to reduce GI effects. Oral solution: dilute in water or juice.,,Highest EPS risk of all antipsychotics. QT prolongation. Avoid IV route due to arrhythmia risk. Depot (decanoate) available for adherence.
olanzapine,Zyprexa,antipsychotic,atypical (second-generation) antipsychotic,"D2, 5-HT2A, H1, M1, alpha-1 antagonism",oral|IM,30,38,93,80,57,CYP1A2,UGT1A4,False,20,Plasma: 20-80 ng/mL (TDM guided),Weight/BMI monthly|Fasting glucose/HbA1c|Lipids|BP|EPS (less common),C,Can be taken with or without food,,"High metabolic side effect profile (weight gain, T2DM, dyslipidaemia). Smoking induces CYP1A2 — smokers need higher dose; dose reduction on smoking cessation."
quetiapine,Seroquel,antipsychotic,atypical antipsychotic,"D2, 5-HT2A, H1, alpha-1 antagonism; lower D2 affinity than haloperidol",oral,6,7,83,9,73,CYP3A4,,False,800,Plasma: 100-500 ng/mL,Weight|Metabolic panel|QTc|Sedation|Orthostatic BP,C,Food increases Cmax 25-52% — take consistently (always with or always without food).,,Low EPS risk. QT prolongation. Strong sedation (H1). CYP3A4 inducers (carbamazepine) dramatically reduce levels — may need 5x dose increase.
risperidone,Risperdal,antipsychotic,atypical antipsychotic,"D2 and 5-HT2A antagonism; also alpha-1, H1",oral|IM depot,20,24,90,70,70,CYP2D6,CYP3A4,False,16,Plasma: 20-60 ng/mL (risperidone + 9-OH-risperidone),EPS/akathisia|Prolactin|Weight|Metabolic panel|QTc,C,Can be taken with or without food,,"CYP2D6 PMs: higher risperidone, less 9-OH-risperidone; similar clinical effect but adjust for tolerability. Depot (Risperdal Consta) q2wk."
