name,fda_verified,fda_generic_name,fda_brand_names,brand,class,subclass,mechanism,route,fda_route,fda_dosage_form,half_life_hr_min,half_life_hr_max,protein_binding_pct,bioavailability_pct,renal_excretion_pct,primary_enzyme,secondary_enzymes,narrow_ti,max_daily_dose_mg,therapeutic_range,monitoring,pregnancy_cat,food_effect,contraindications,notes,fda_warnings_text,fda_contraindications_text,fda_drug_interactions_text,fda_pregnancy_text,top_adverse_reactions,fda_rxcui,fda_ndc,fda_manufacturer
carvedilol,True,CARVEDILOL,Carvedilol,Coreg,antihypertensive,non-selective beta blocker + alpha-1 blocker,Non-selective beta + alpha-1 blockade → combined vasodilation + HR reduction,oral,ORAL,,6,10,98,25,2,CYP2D6,CYP2C9,False,100,"HR 55-65 bpm, BP <130/80",HR|BP|Fluid retention,C,Take WITH food to slow absorption and reduce orthostatic hypotension risk,,First-line for heart failure. Significant first-pass effect. CYP2D6 PMs have higher exposure.,,4 CONTRAINDICATIONS Bronchial asthma or related bronchospastic conditions. ( 4 ) Second- or third-degree AV block. ( 4 ) Sick sinus syndrome. ( 4 ) Severe bradycardia (unless permanent pacemaker in place). ( 4 ) Patients in cardiogenic shock or decompensated heart failure requiring the use of IV ino,"7 DRUG INTERACTIONS CYP P450 2D6 enzyme inhibitors may increase and rifampin may decrease carvedilol levels. ( 7.1 , 7.5 ) Hypotensive agents (e.g., reserpine, MAO inhibitors, clonidine) may increase the risk of hypotension and/or severe bradycardia. ( 7.4 ) Cyclosporine or digoxin levels may increase. ( 7.3 , 7.4 ) Both digitalis glycosides and β-blockers slow atrioventricular conduction and decr",8.1 Pregnancy Risk Summary Available data regarding use of carvedilol in pregnant women are insufficient to determine whether there are drug-associated risks of adverse developmental outcomes. There a,FATIGUE|DYSPNOEA|DIARRHOEA|DIZZINESS|NAUSEA|DEATH|DRUG INEFFECTIVE|HYPOTENSION,686924,42708-181,QPharma Inc
digoxin,True,DIGOXIN,Digoxin,Lanoxin,cardiac glycoside,inotrope/antiarrhythmic,Inhibits Na+/K+-ATPase → increased intracellular Ca++ → positive inotropy,oral|IV,ORAL,,36,48,25,70,70,,P-gp,True,0.375,0.5-0.9 ng/mL (HF); 0.5-2.0 ng/mL (AF rate control),"Digoxin level (6-8hr post-dose)|K+, Mg++, Ca++|ECG|Renal function",C,High-fiber meal reduces absorption 25%. Take consistently relative to meals.,,"P-gp substrate — many interactions. Hypokalemia potentiates toxicity. Signs: nausea, yellow-green halos.",,"4 CONTRAINDICATIONS Digoxin is contraindicated in patients with: Ventricular fibrillation [see Warnings and Precautions (5.1)] Known hypersensitivity to digoxin (reactions seen include unexplained rash, swelling of the mouth, lips or throat or a difficulty in breathing). A hypersensitivity reaction ","7 DRUG INTERACTIONS Digoxin has a narrow therapeutic index, increased monitoring of serum digoxin concentrations and for potential signs and symptoms of clinical toxicity is necessary when initiating, adjusting, or discontinuing drugs that may interact with digoxin. Prescribers should consult the prescribing information of any drug which is co-prescribed with digoxin for potential drug interaction",,DYSPNOEA|NAUSEA|DIZZINESS|FATIGUE|ATRIAL FIBRILLATION|DIARRHOEA|ASTHENIA|VOMITING,197606,71335-2464,Bryant Ranch Prepack
amiodarone,True,AMIODARONE HYDROCHLORIDE,Pacerone,Cordarone|Pacerone,antiarrhythmic,class III,"Blocks K+ channels → prolongs action potential. Also blocks Na+, Ca++, beta",oral|IV,ORAL,,1200,2400,96,50,0,CYP3A4,CYP2C8|CYP2D6,True,400,1.0-2.5 mg/L (not routinely used),TFTs q6mo|LFTs q6mo|CXR annually|PFTs if symptomatic|Ophthalmology|Thyroid,D,Grapefruit increases levels. Take consistently.,,40-55 day half-life. Inhibits CYP2C9 → warfarin 35-65% dose reduction. Iodine-rich — thyroid toxicity.,,"4 CONTRAINDICATIONS Cardiogenic shock. Sick sinus syndrome, second- or third-degree atrioventricular block, bradycardia leading to syncope without a functioning pacemaker. Known hypersensitivity to the drug or to any of its components, including iodine. Pacerone is contraindicated in patients with (","7 DRUG INTERACTIONS Because of amiodarone's long half-life, expect drug interactions to persist for weeks to months after discontinuation of amiodarone. Drug interactions with amiodarone are described in Table 1 below. Table 1: Amiodarone Drug Interactions Concomitant Drug Class/Name Examples Clinical Comment Pharmacodynamic Interactions QT Prolonging Drugs class I and III antiarrhythmics, lithium",8.1 Pregnancy Risk Summary Available data from post-marketing reports and published case series indicate that amiodarone use in pregnant women may increase the risk for fetal adverse effects including,DYSPNOEA|ATRIAL FIBRILLATION|DRUG INEFFECTIVE|DRUG INTERACTION|ASTHENIA|FATIGUE|OFF LABEL USE|HYPOTENSION,833528|834346,71610-787,"Aphena Pharma Solutions - Tennessee, LLC"
spironolactone,True,SPIRONOLACTONE,Spironolactone,Aldactone,diuretic,potassium-sparing / aldosterone antagonist,"Competitive aldosterone antagonist → Na+ excretion, K+ retention",oral,ORAL,,1.5,2,90,90,50,CYP3A4,,False,400,"Clinical response (BP, K+)",K+|Cr|BP|Gynecomastia,D,Take WITH food — improves absorption and reduces GI upset,,Hyperkalemia risk with ACEi/ARBs/K+ supplements. Active metabolite canrenone.,,4 CONTRAINDICATIONS Spironolactone is contraindicated in the patients with: Hyperkalemia Addison’s disease Concomitant use of eplerenone Spironolactone is contraindicated in patients with ( 4 ): Hyperkalemia Addison’s disease Concomitant use of eplerenone,"7 DRUG INTERACTIONS Agents increasing serum potassium: Concomitant administration can lead to hyperkalemia ( 5.1 , 7.1 ). Lithium: Increased risk of lithium toxicity ( 7.2 ). NSAIDs: May reduce the diuretic, natriuretic and antihypertensive effect of spironolactone ( 7.3 ). Digoxin: spironolactone can interfere with radioimmunologic assays of digoxin exposure ( 7.4) . Cholestyramine: Hyperkalemic ","8.1 Pregnancy Risk Summary Based on mechanism of action and findings in animal studies, spironolactone may affect sex differentiation of the male during embryogenesis [see Data ] . Rat embryofetal stu",DYSPNOEA|FATIGUE|NAUSEA|DIARRHOEA|ACUTE KIDNEY INJURY|DIZZINESS|HEADACHE|OFF LABEL USE,198222,50090-6539,A-S Medication Solutions
furosemide,True,FUROSEMIDE,Furosemide,Lasix,diuretic,loop diuretic,Inhibits Na+/K+/2Cl- cotransporter in thick ascending loop of Henle,oral|IV,ORAL,,2,2,99,47,88,,,False,600,"Clinical response (diuresis, BP)",K+|Cr|Electrolytes|Volume status|Hearing (high doses),C,Food delays absorption; AUC reduced ~30%. Take on empty stomach for acute diuresis.,,High-dose ototoxicity risk especially with aminoglycosides. Monitor K+ — hypokalemia common.,"WARNING Furosemide is a potent diuretic which, if given in excessive amounts, can lead to a profound diuresis with water and electrolyte depletion. Therefore, careful medical supervision is required and dose and dose schedule must be adjusted to the individual patient's needs (see DOSAGE AND ADMINIS",CONTRAINDICATIONS Furosemide tablets are contraindicated in patients with anuria and in patients with a history of hypersensitivity to furosemide.,"Drug Interactions Furosemide may increase the ototoxic potential of aminoglycoside antibiotics, especially in the presence of impaired renal function. Except in life-threatening situations, avoid this combination. Furosemide should not be used concomitantly with ethacrynic acid because of the possibility of ototoxicity. Patients receiving high doses of salicylates concomitantly with furosemide, as","Pregnancy Pregnancy Category C: Furosemide has been shown to cause unexplained maternal deaths and abortions in rabbits at 2, 4 and 8 times the maximal recommended human dose. There are no adequate an",DYSPNOEA|ACUTE KIDNEY INJURY|FATIGUE|DIARRHOEA|DEATH|NAUSEA|FALL|OFF LABEL USE,197732,63629-1120,Bryant Ranch Prepack
hydrochlorothiazide,True,LISINOPRIL AND HYDROCHLOROTHIAZIDE TABLETS,Lisinopril and Hydrochlorothiazide,Microzide|HydroDIURIL,diuretic,thiazide,Inhibits NaCl cotransporter in distal convoluted tubule,oral,ORAL,,6,15,40,65,95,,,False,50,BP <130/80,K+|Na+|Glucose|Uric acid|Lipids,D,Take in morning with food to avoid nocturia,,"Hypokalemia, hyperuricemia, hyperglycemia risks. Less effective if CrCl <30.","WARNINGS General Lisinopril Anaphylactoid and Possibly Related Reactions: Presumably because angiotensin-converting enzyme inhibitors affect the metabolism of eicosanoids and polypeptides, including endogenous bradykinin, patients receiving ACE inhibitors (including lisinopril and hydrochlorothiazid",CONTRAINDICATIONS Lisinopril and hydrochlorothiazide tablets are contraindicated in patients who are hypersensitive to any component of this product and in patients with a history of angioedema related to previous treatment with an angiotensin converting enzyme inhibitor and in patients with heredit,"Drug Interactions Lisinopril Hypotension - Patients on Diuretic Therapy: Patients on diuretics and especially those in whom diuretic therapy was recently instituted, may occasionally experience an excessive reduction of blood pressure after initiation of therapy with lisinopril. The possibility of hypotensive effects with lisinopril can be minimized by either discontinuing the diuretic or increasi",,FATIGUE|NAUSEA|DRUG INEFFECTIVE|DIARRHOEA|DYSPNOEA|DIZZINESS|HEADACHE|PAIN,197885,60760-586,ST. MARY'S MEDICAL PARK PHARMACY
atorvastatin,True,ATORVASTATIN CALCIUM,Atorvastatin calcium,Lipitor,lipid-lowering,HMG-CoA reductase inhibitor (statin),Competitive inhibition of HMG-CoA reductase → reduces cholesterol synthesis,oral,ORAL,,14,14,98,12,2,CYP3A4,,False,80,LDL-C target per cardiovascular risk,"LFTs at baseline, 12 weeks, then annually|CK if myopathy symptoms|Lipid panel q3-12mo",X,Grapefruit juice increases AUC 2-fold. Avoid large amounts (>1 quart/day).,,Can be taken any time of day. Rhabdomyolysis risk with CYP3A4 inhibitors.,,"4 CONTRAINDICATIONS Acute liver failure or decompensated cirrhosis [see Warnings and Precautions (5.3) ] Hypersensitivity to atorvastatin or any excipients in atorvastatin calcium. Hypersensitivity reactions, including anaphylaxis, angioneurotic edema, erythema multiforme, Stevens-Johnson syndrome, ","7 DRUG INTERACTIONS See full prescribing information for details regarding concomitant use of atorvastatin calcium with other drugs or grapefruit juice that increase the risk of myopathy and rhabdomyolysis ( 2.5 , 7.1 ). Rifampin: May reduce atorvastatin plasma concentrations. Administer simultaneously with atorvastatin calcium ( 7.2 ). Oral Contraceptives: May increase plasma levels of norethindr","8.1 Pregnancy Risk Summary Discontinue atorvastatin when pregnancy is recognized. Alternatively, consider the ongoing therapeutic needs of the individual patient. atorvastatin decreases synthesis of c",FATIGUE|DIARRHOEA|DYSPNOEA|NAUSEA|DRUG INEFFECTIVE|DIZZINESS|OFF LABEL USE|HEADACHE,259255,71335-1336,Bryant Ranch Prepack
simvastatin,True,SIMVASTATIN,SIMVASTATIN,Zocor,lipid-lowering,HMG-CoA reductase inhibitor (statin),Competitive inhibition of HMG-CoA reductase,oral,ORAL,,1.9,1.9,95,5,13,CYP3A4,,False,40,LDL-C target,LFTs|CK if myopathy,X,Take in EVENING — cholesterol synthesis is highest at night. Grapefruit contraindicated.,,80mg dose associated with high myopathy risk — FDA limits use. Strong CYP3A4 inhibitors → rhabdomyolysis.,,"4 CONTRAINDICATIONS Simvastatin is contraindicated in the following conditions: Concomitant use of strong CYP3A4 inhibitors (select azole anti-fungals, macrolide antibiotics, anti-viral medications, and nefazodone) [see DRUG INTERACTIONS ( 7.1 )]. Concomitant use of cyclosporine, danazol or gemfibro","7 DRUG INTERACTIONS See full prescribing information for details regarding concomitant use of simvastatin with other drugs or grapefruit juice that increase the risk of myopathy and rhabdomyolysis. ( 2.5 , 7.1 ) Coumarin Anticoagulants: Obtain INR before simvastatin initiation and monitor INR during simvastatin dosage initiation or adjustment. ( 7.2 ) Digoxin: During simvastatin initiation, monito","8.1 Pregnancy Risk Summary Discontinue simvastatin when pregnancy is recognized. Alternatively, consider the ongoing therapeutic needs of the individual patient. Simvastatin decreases synthesis of cho",FATIGUE|NAUSEA|DYSPNOEA|DIARRHOEA|DRUG INEFFECTIVE|DIZZINESS|FALL|HEADACHE,198211,72789-304,"PD-Rx Pharmaceuticals, Inc."
rosuvastatin,True,ROSUVASTATIN CALCIUM,Rosuvastatin Calcium,Crestor,lipid-lowering,HMG-CoA reductase inhibitor (statin),Competitive inhibition of HMG-CoA reductase,oral,ORAL,,19,19,88,20,28,CYP2C9,OATP1B1,False,40,LDL-C target,LFTs|CK|Renal function,X,"Can be taken any time of day, with or without food",,Less CYP3A4 interaction than atorvastatin/simvastatin. Asian patients may need lower doses.,,"4 CONTRAINDICATIONS Rosuvastatin tablets is contraindicated in the following conditions: Acute liver failure or decompensated cirrhosis [see Warnings and Precautions ( 5.3 )] . Hypersensitivity to rosuvastatin or any excipients in rosuvastatin tablets. Hypersensitivity reactions including rash, prur",7 DRUG INTERACTIONS See full prescribing information for details regarding concomitant use of rosuvastatin with other drugs that increase the risk of myopathy and rhabdomyolysis. ( 7.1 ) Aluminum and Magnesium Hydroxide Combination Antacids : Administer rosuvastatin at least 2 hours before the antacid. ( 7.2 ) Warfarin : Obtain INR prior to starting rosuvastatin. Monitor INR frequently until stabl,"8.1 Pregnancy Risk Summary Discontinue rosuvastatin when pregnancy is recognized. Alternatively, consider the ongoing therapeutic needs of the individual patient. Rosuvastatin decreases synthesis of c",FATIGUE|DYSPNOEA|DRUG INEFFECTIVE|NAUSEA|OFF LABEL USE|DIARRHOEA|PAIN|HEADACHE,859419|859424|859747,69367-359|69367-360,"Westminster Pharmaceuticals, LLC"
pravastatin,True,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM,Pravachol,lipid-lowering,HMG-CoA reductase inhibitor (statin),Competitive inhibition of HMG-CoA reductase,oral,ORAL,,1.5,2,50,18,20,,OATP1B1,False,80,LDL-C target,LFTs|CK,X,Food reduces Cmax but not AUC. Take at bedtime.,,Lowest CYP interaction of all statins. Preferred in drug interaction-prone patients.,,"4 CONTRAINDICATIONS Hypersensitivity to any component of this medication. (4.1, 6.2, 11) Active liver disease or unexplained, persistent elevations of serum transaminases. (4.2, 5.3 ) Pregnancy (4.3, 8.1, 8.3) Lactation (4.4, 8.2) 4.1 Hypersensitivity Hypersensitivity to any component of this medica","7 DRUG INTERACTIONS For the concurrent therapy of either cyclosporine, fibrates, niacin (nicotinic acid), or erythromycin, the risk of myopathy increases [see Warnings and Precautions (5.1) and Clinical Pharmacology (12.3) ]. Concomitant lipid-lowering therapies: use with fibrates or lipid-modifying doses (≥1 g/day) of niacin increases the risk of adverse skeletal muscle effects. Caution should be",8.1 Pregnancy Risk Summary Pravastatin Sodium is contraindicated for use in pregnant woman because of the potential for fetal harm. As safety in pregnant women has not been established and there is no,FATIGUE|DIARRHOEA|NAUSEA|DRUG INEFFECTIVE|DYSPNOEA|DIZZINESS|HEADACHE|PAIN,904481,63629-9165,Bryant Ranch Prepack
metformin,True,SITAGLIPTIN AND METFORMIN HYDROCHLORIDE,ZITUVIMET,Glucophage|Glumetza,antidiabetic,biguanide,"Activates AMPK → reduces hepatic gluconeogenesis, improves insulin sensitivity",oral,ORAL,,6,7,0,55,90,,,False,3000,FPG <130 mg/dL; HbA1c <7%,"HbA1c q3mo initially, then q6-12mo|Renal function annually (CrCl)|B12 q1-2yr",B,"Take WITH food (breakfast, dinner) — reduces GI side effects. Food reduces Cmax 25% but improves tolerability.",,"Hold for IV contrast, surgery. Lactic acidosis risk if CrCl<30. Reduces B12 absorption.",,"4 CONTRAINDICATIONS Severe renal impairment: (eGFR below 30 mL/min/1.73 m 2 ) ( 4) Metabolic acidosis, including diabetic ketoacidosis. ( 4 ) History of a serious hypersensitivity reaction to ZITUVIMET, sitagliptin, or metformin, such as anaphylaxis or angioedema. (4) ZITUVIMET is contraindicated in","7 DRUG INTERACTIONS Table 4 presents clinically significant drug interactions with ZITUVIMET: Table 4: Clinically Significant Drug Interactions with ZITUVIMET Carbonic Anhydrase Inhibitors Clinical Impact: Carbonic anhydrase inhibitors frequently cause a decrease in serum bicarbonate and induce non-anion gap, hyperchloremic metabolic acidosis. Concomitant use of these drugs with ZITUVIMET may incr",8.1 Pregnancy Risk Summary Available data with ZITUVIMET and sitagliptin use in pregnant women are not sufficient to inform a ZITUVIMET-associated or sitagliptin-associated risk for major birth defect,NAUSEA|DIARRHOEA|BLOOD GLUCOSE INCREASED|DRUG INEFFECTIVE|FATIGUE|LACTIC ACIDOSIS|VOMITING|ACUTE KIDNEY INJURY,861769|861819|2677162,70771-1859|70771-1860,Zydus Lifesciences Limited
glipizide,True,GLIPIZIDE,Glipizide,Glucotrol,antidiabetic,sulfonylurea,Closes K-ATP channels in pancreatic beta cells → insulin release,oral,ORAL,,2,5,99,90,91,CYP2C9,,False,40,FPG <130 mg/dL,Blood glucose|HbA1c|Signs of hypoglycemia,C,Take 30 minutes BEFORE meals. Food delays and reduces absorption significantly.,,Hypoglycemia risk especially in elderly/renal impairment. CYP2C9 interactions with fluconazole.,WARNINGS SPECIAL WARNING ON INCREASED RISK OF CARDIOVASCULAR MORTALITY The administration of oral hypoglycemic drugs has been reported to be associated with increased cardiovascular mortality as compared to treatment with diet alone or diet plus insulin. This warning is based on the study conducted ,"CONTRAINDICATIONS Glipizide is contraindicated in patients with: 1. Known hypersensitivity to the drug. 2. Type 1 diabetes mellitus, diabetic ketoacidosis, with or without coma. This condition should be treated with insulin.","Drug Interactions The hypoglycemic action of sulfonylureas may be potentiated by certain drugs including non-steroidal anti-inflammatory agents, some azoles, and other drugs that are highly protein bound, salicylates, sulfonamides, chloramphenicol, probenecid, coumarins, monoamine oxidase inhibitors, quinolones and beta-adrenergic blocking agents. When such drugs are administered to a patient rece","Pregnancy Glipizide was found to be mildly fetotoxic in rat reproductive studies at all dose levels (5 to 50 mg/kg). This fetotoxicity has been similarly noted with other sulfonylureas, such as tolbut",BLOOD GLUCOSE INCREASED|NAUSEA|DRUG INEFFECTIVE|DIARRHOEA|FATIGUE|WEIGHT DECREASED|DIZZINESS|DYSPNOEA,310488,72162-2215,Bryant Ranch Prepack
sitagliptin,True,SITAGLIPTIN AND METFORMIN HYDROCHLORIDE,ZITUVIMET,Januvia,antidiabetic,DPP-4 inhibitor,Inhibits DPP-4 → increases GLP-1 and GIP → glucose-dependent insulin release,oral,ORAL,,12,12,38,87,79,,,False,100,HbA1c <7%,HbA1c|Renal function|Signs of pancreatitis,C,Can be taken with or without food,,Reduce dose in renal impairment: 50mg if CrCl 30-50; 25mg if CrCl<30.,,"4 CONTRAINDICATIONS Severe renal impairment: (eGFR below 30 mL/min/1.73 m 2 ) ( 4) Metabolic acidosis, including diabetic ketoacidosis. ( 4 ) History of a serious hypersensitivity reaction to ZITUVIMET, sitagliptin, or metformin, such as anaphylaxis or angioedema. (4) ZITUVIMET is contraindicated in","7 DRUG INTERACTIONS Table 4 presents clinically significant drug interactions with ZITUVIMET: Table 4: Clinically Significant Drug Interactions with ZITUVIMET Carbonic Anhydrase Inhibitors Clinical Impact: Carbonic anhydrase inhibitors frequently cause a decrease in serum bicarbonate and induce non-anion gap, hyperchloremic metabolic acidosis. Concomitant use of these drugs with ZITUVIMET may incr",8.1 Pregnancy Risk Summary Available data with ZITUVIMET and sitagliptin use in pregnant women are not sufficient to inform a ZITUVIMET-associated or sitagliptin-associated risk for major birth defect,ACUTE KIDNEY INJURY|DIARRHOEA|NAUSEA|VOMITING|FATIGUE|DYSPNOEA|GENERAL PHYSICAL HEALTH DETERIORATION|LACTIC ACIDOSIS,861769|861819|2677162,70771-1859|70771-1860,Zydus Lifesciences Limited
empagliflozin,True,EMPAGLIFLOZIN AND METFORMIN HYDROCHLORIDE,Synjardy,Jardiance,antidiabetic,SGLT-2 inhibitor,Inhibits SGLT-2 in proximal tubule → glucose excretion in urine,oral,ORAL,,12,13,86,78,54,,UGT1A3|UGT2B7,False,25,HbA1c <7%,eGFR|Volume status|UTI/genital infections|DKA signs,C,"Can be taken with or without food, in the morning",,Cardiovascular and renal protection independent of glucose lowering. Hold before major surgery.,,"4 CONTRAINDICATIONS SYNJARDY and SYNJARDY XR are contraindicated in patients with: severe renal impairment (eGFR less than 30 mL/min/1.73 m 2 ) [see Warnings and Precautions (5.1) and Use in Specific Populations (8.6) ]. acute or chronic metabolic acidosis, including diabetic ketoacidosis [see Warni","7 DRUG INTERACTIONS See Table 4 for clinically relevant interactions with SYNJARDY or SYNJARDY XR. Table 4 Clinically Relevant Interactions with SYNJARDY or SYNJARDY XR Carbonic Anhydrase Inhibitors Clinical Impact Topiramate or other carbonic anhydrase inhibitors (e.g., zonisamide, acetazolamide or dichlorphenamide) frequently causes a decrease in serum bicarbonate and induce non-anion gap, hyper","8.1 Pregnancy Risk Summary Based on animal data showing adverse renal effects from empagliflozin, SYNJARDY and SYNJARDY XR are not recommended during the second and third trimesters of pregnancy. The ",EUGLYCAEMIC DIABETIC KETOACIDOSIS|ACUTE KIDNEY INJURY|OFF LABEL USE|DIABETIC KETOACIDOSIS|DRUG INEFFECTIVE|NAUSEA|VOMITING|DYSPNOEA,1664315|1664321|1664323,0597-0159|0597-0175,"Boehringer Ingelheim Pharmaceuticals, Inc."
insulin_glargine,True,INSULIN GLARGINE,BASAGLAR KwikPen|BASAGLAR Tempo Pen,Lantus|Basaglar|Toujeo,antidiabetic,long-acting insulin analogue,Binds insulin receptor → facilitates glucose uptake into cells; suppresses gluconeogenesis/lipolysis,subcutaneous,SUBCUTANEOUS,,24,24,0,70,5,,,True,,FBG 80-130 mg/dL (ADA target); HbA1c <7%,Blood glucose (fasting daily)|HbA1c q3mo initially|Hypoglycemia signs|Injection site lipohypertrophy,B,Subcutaneous injection — no food interaction. Consistent carbohydrate intake important for dose stability.,hypoglycemia episode (hold dose),"Do not mix with other insulins. Rotate injection sites. Hypoglycemia risk increases with alcohol, beta-blockers (mask signs), ACE inhibitors. Brand-to-brand switch requires dose retitration.",,4 CONTRAINDICATIONS BASAGLAR is contraindicated: During episodes of hypoglycemia [see Warnings and Precautions ( 5.3 )] . In patients with hypersensitivity to insulin glargine or any of the excipients in BASAGLAR [see Warnings and Precautions ( 5.5 )] . During episodes of hypoglycemia. ( 4 ) Hyperse,"7 DRUG INTERACTIONS Table 6 includes clinically significant drug interactions with BASAGLAR Table 6: Clinically Significant Drug Interactions with BASAGLAR Drugs That May Increase the Risk of Hypoglycemia Drugs: Antidiabetic agents, ACE inhibitors, angiotensin II receptor blocking agents, disopyramide, fibrates, fluoxetine, monoamine oxidase inhibitors, pentoxifylline, pramlintide, salicylates, so",8.1 Pregnancy Risk Summary Published studies with use of insulin glargine products during pregnancy have not reported a clear association with insulin glargine products and adverse developmental outco,BLOOD GLUCOSE INCREASED|HYPOGLYCAEMIA|DEVICE MECHANICAL ISSUE|NAUSEA|DYSPNOEA|DRUG INEFFECTIVE|ACUTE KIDNEY INJURY|DIARRHOEA,847230|1736863|2268064,0002-7715|0002-8214,Eli Lilly and Company
levothyroxine,True,LEVOTHYROXINE SODIUM,Levothyroxine sodium,Synthroid|Levoxyl|Tirosint,thyroid hormone,synthetic T4,"Replaces endogenous T4, converted to active T3 in peripheral tissues",oral,ORAL,,168,192,99.9,75,0,,,True,0.5,TSH 0.5-4.5 mIU/L; T4 5.0-12.0 mcg/dL,"TSH q6-8 weeks after dose change, then annually|HR|BP",A,"CRITICAL: Take 30-60 min BEFORE breakfast on EMPTY STOMACH. Calcium, iron, coffee, soy all reduce absorption by 20-40%. Separate 4+ hours from calcium/iron supplements.",,"Interacts with calcium, iron, antacids (chelation), cholestyramine, sucralfate. Consistent brand important.",,4 CONTRAINDICATIONS Levothyroxine sodium tablets are contraindicated in patients with uncorrected adrenal insufficiency [see Warnings and Precautions (5.4) ]. Uncorrected adrenal insufficiency. (4),"7 DRUG INTERACTIONS See full prescribing information for drugs that affect thyroid hormone pharmacokinetics and metabolism (e.g., absorption, synthesis, secretion, catabolism, protein binding, and target tissue response) and may alter the therapeutic response to levothyroxine sodium. (7) 7.1 Drugs Known to Affect Thyroid Hormone Pharmacokinetics Many drugs can exert effects on thyroid hormone phar","8.1 Pregnancy Risk Summary The clinical experience, including data from postmarketing studies, in pregnant women treated with oral levothyroxine to maintain euthyroid state have not reported increased",FATIGUE|NAUSEA|DIARRHOEA|DRUG INEFFECTIVE|HEADACHE|DYSPNOEA|OFF LABEL USE|DIZZINESS,966249,50090-6115,A-S Medication Solutions
amoxicillin,True,AMOXICILLIN AND CLAVULANATE POTASSIUM,AMOXICILLIN AND CLAVULANATE POTASSIUM,Amoxil,antibiotic,aminopenicillin,Inhibits bacterial cell wall synthesis by binding PBPs,oral|IV,ORAL,,1,1.5,17,89,60,,,False,3000,MIC dependent,Signs of allergic reaction|Renal function|C. diff if prolonged,B,Can be taken with or without food. Food delays absorption but not extent.,,Penicillin allergy cross-reactivity 1-10%. Time-dependent bactericidal activity.,,"4 CONTRAINDICATIONS History of a serious hypersensitivity reaction (e.g., anaphylaxis or Stevens-Johnson syndrome) to Amoxicillin and Clavulanate Potassium or to other beta‑lactams (e.g., penicillins or cephalosporins). ( 4.1 ) History of cholestatic jaundice/hepatic dysfunction associated with Amox",7 DRUG INTERACTIONS Co‑administration with probenecid is not recommended. ( 7.1 ) Concomitant use of Amoxicillin and Clavulanate Potassium and oral anticoagulants may increase the prolongation of prothrombin time.( 7.2 ) Co-administration with allopurinol increases the risk of rash. ( 7.3 ) Amoxicillin and Clavulanate Potassium may reduce efficacy of oral contraceptives. ( 7.4 ) 7.1 Probenecid Pro,8.1 Pregnancy Teratogenic Effects : Pregnancy Category B. Reproduction studies performed in pregnant rats and mice given Amoxicillin and Clavulanate Potassium (2:1 ratio formulation of amoxicillin:cla,DIARRHOEA|DRUG INEFFECTIVE|DYSPNOEA|NAUSEA|ACUTE KIDNEY INJURY|RASH|CHRONIC KIDNEY DISEASE|FATIGUE,562508,50090-6324,A-S Medication Solutions
ciprofloxacin,True,CIPROFLOXACIN,ciprofloxacin,Cipro,antibiotic,fluoroquinolone,Inhibits DNA gyrase and topoisomerase IV → DNA strand breaks,oral|IV,OPHTHALMIC,,4,6,20,70,45,CYP1A2,,False,1500,MIC dependent,Tendon pain (Achilles)|QT interval if cardiac risk|Blood glucose in diabetics,C,"Dairy products (Ca++, Mg++) and antacids chelate and reduce absorption 50-90%. Take 2 hours before or 6 hours after calcium-containing products.",,"Strong CYP1A2 inhibitor — warfarin, theophylline, clozapine levels increase. Tendinopathy risk.",,CONTRAINDICATIONS A history of hypersensitivity to ciprofloxacin or any other component of the medication is a contraindication to its use. A history of hypersensitivity to other quinolones may also contraindicate the use of ciprofloxacin.,"Drug Interactions: Specific drug interaction studies have not been conducted with ophthalmic ciprofloxacin. However, the systemic administration of some quinolones has been shown to elevate plasma concentrations of theophylline, interfere with the metabolism of caffeine, enhance the effects of the oral anticoagulant, warfarin, and its derivatives, and has been associated with transient elevations ",,FATIGUE|PAIN|DIARRHOEA|NAUSEA|ARTHRALGIA|DRUG INEFFECTIVE|ACUTE KIDNEY INJURY|DYSPNOEA,309307,71205-300,Proficient Rx LP
